hospital_name,latitude,longitude
"Maharaja Agrasen Hospital, Bengaluru Urban",12.915903,77.5550223
Banashankari Referral Hospital,12.9231342,77.5642974
Bangalore Kidney Foundation - NU Hospital,12.9179548,77.555816
"Panacea Hospital, Nagarabhavi",12.9613237,77.511726
Shanbhag Hospital,12.9856882,77.5435424
Trupti Nursing Home,12.9946566,77.5397544
Srivijaya Speciality Hospital,13.0124345,77.6580271
Magnus Diagnostic Lab,12.9349187,77.6305022
Krupa Medical center,13.000431,77.5411664
Soukya Hospital,13.0774744,77.5587548
Greenview Medical Center,12.9191813,77.6381379
Vaidyaratnam Oushadhasala,12.9121004,77.6485848
Blossoms Hospital,12.9064393,77.6308237
Live100,12.8791713,77.6454925
ESi Hospital,13.0077936,77.6923101
Happy Tooth,12.9744193,77.5336479
Rishi Women and Child Clinic,12.9745812,77.532699
Penta Care Ayurvedic Hospital,12.9736894,77.5369482
Shalini Nursing & MAternity Home,12.9436624,77.5419997
Shreya Poly Clinic,12.9729127,77.5394723
Anurag Medical Center,12.9612829,77.5271683
United Medical lab,13.0007683,77.6132902
Pragathi Ayurvedic Center,12.9843701,77.555666
Srujana Hospital,12.8413465,77.6475451
Narayana Hrudayalaya Dental Clinic,12.9231571,77.6728066
Vatsalya Chidren's Clinic,12.8948505,77.6109105
Kottakkal Arya Vaidya Sala,12.9002599,77.6271003
Sharavathi Hospitals (P) Ltd.,12.9623406,77.5342853
"Dr.Agarwal's Eye Hospital Ltd, Padmanabha Nagar",12.9169288,77.5592568
Shraddha Eye Care,12.9184617,77.5555842
"Vasan Eye Care Hospital, Rajarajeswari Nagar",12.931334,77.5154779
Cloud Nine Fertility,12.9055088,77.5858347
Aikya Healthcare,12.8827229,77.5466715
Konanakunte Government Hospital,12.8840897,77.5664029
Anand Clinic,12.8002465,77.5088745
Sanjeevani Clinic,12.8011096,77.5084507
Government Hospital,12.8047243,77.5109371
Rajarajeshwari Hospital and Medical College,12.896052,77.4618775
Rajarajeshwari Dental College,12.9069608,77.418604
Cloud Nine Hospital,12.9878709,77.7319773
Telerad Rx Dx Health Care Whitefield,12.9768424,77.7103746
Motherhood Hospital(Unit Of Rhea Healthcare Pvt Ltd),12.9784409,77.6375845
Respiratory and womens health clinic.,12.9762645,77.6376528
Rashmi Hospital,12.9766951,77.6362278
Netradama Eye Hospital,12.9734836,77.6357281
Sree Venkateshwara Speciality Hospital,12.9425246,77.6025303
Leela Hospital and Diagnostic Center,13.0002667,77.5694894
Dr. Rajkumar Blood Bank,12.968031,77.5878222
Nelivigi Eye Hospital,12.9241818,77.6737518
Sanghi Medical Centre (P) Ltd,12.9517397,77.6994832
"Sri Sai Krupa Hospital, Bengaluru Urban",13.0294181,77.5593857
ALDOS Medical Service Pvt LTD,12.9826672,77.6381036
Government Hospital,12.8870605,77.603414
Rajashree Granthim hospital,12.8893134,77.602422
Sri Laxmi Hospital,12.8504718,77.6553058
Wipro First Aid Clinic,12.8377272,77.6584571
Krishna Nursing Home,12.9474222,77.5986921
"Shifa Hospital, Bengaluru Urban",12.9900105,77.5988107
Milann Fertility Center,12.9159249,77.5856011
Gift IVF center,12.962951,77.6418711
HCG Cancer Hospital,12.9603157,77.5930493
Health Care Global,12.9584755,77.5919279
Gulecha Dental Care,12.9292418,77.5893625
Unnamed Hospital,12.9767055,77.5424167
Rajbal Skin Clinic,13.0206063,77.6445361
Prashanth Hospital,12.9066637,77.6287463
Dianova Diabetes Center and Hospital,13.0147612,77.6335463
Ameena Medical centre,12.9777082,77.6323407
Dr.Agarwal Eye & Dental Hospital,12.9700356,77.6362439
SRL Diagnostics,12.9599306,77.7160447
Dr Raos Maternity Hospital,12.9850421,77.5460481
Sagar Chandramma Hospitals,12.9485535,77.5748248
Trilife Hospital,13.0169826,77.6432959
Vignesh Lab and Diagnostics,13.0267226,77.6041132
Apollo Cradle,12.9368104,77.6206345
Shiva Kumaraswamy Building,12.9717049,77.5493718
Myo Medex - Ace Speciality Clinic,12.8615976,77.5999324
Stanford Speciality Hospital,12.911533,77.6764094
Dr Mohan Nursing Home,12.9124371,77.6813917
Sparsh Clinic,12.9072384,77.6755805
Raksha Orthopaedic And Multi Speciality Centre,12.9041502,77.6741043
Narayana Nethralaya,12.8750879,77.5950098
Naadi Ayurveda Center,12.9121008,77.6820003
Kottakkal Arya Vaidya Sala,12.9217604,77.6618321
The Family Doctor & The Family Pharma,12.9122002,77.6818637
Life Care Hospital,12.9194712,77.6130111
Bhagavathi Hospitals Private Limited,12.9161259,77.6311505
Gunasheela Hospitals,12.9250105,77.6278708
NRS Medical & Dental Specialists Centre,12.9151071,77.5624888
Anurag Medical Centre,12.9060641,77.6049776
Sarvodaya Hospital,12.9390944,77.5619057
Indianova Healthcare Pvt Ltd,12.9703581,77.63022
Sky Diagnostic Centre kumbena agrahara,12.9977711,77.7548105
Dr Rachna - Homeopathy,12.9179831,77.6691258
Regal Hospital,13.0830463,77.6347174
Thyrocare,13.0158543,77.7033173
Welnext,12.9240063,77.6545058
Employees State Insurance Dispensary,12.966771,77.5349228
Dr Solankis Eye Hospital,12.9951627,77.5738144
Sri Sanjeevini Cold Laser Therapy,13.0053923,77.5713352
Dr. Bhargavi Reddy Women & Children Hospital,12.975403,77.6470594
Axon Speciality Hospital,12.973892,77.6460904
Bright Children's Clinic,12.9891818,77.689783
Sanjeevini Children & Women Clinic,13.0316481,77.6023154
Procare Hospital,13.0203944,77.6512682
Parimala Health Care,12.9003193,77.6008061
"Sriram Hospital, Bangalore",13.0087504,77.6939806
K R Puram Super Speciality Hospital,13.0110115,77.6935975
Maithri Nursing Home,13.0048396,77.7036425
Unnamed Hospital,12.9702741,77.6468603
Medic Star Hospital,12.9876871,77.6093097
Hsis Gosha Hospital,12.9856985,77.6058578
Santosh Hospital,12.9959413,77.6082575
Hospital,12.9914123,77.6117329
Keva Ayurveda Health Care Pvt Ltd,12.9127062,77.6201668
Ayurvaid Hospital,12.9552696,77.6428508
H B S Hospital,12.9891941,77.6037864
St. Martha's Heart Centre,12.9705436,77.5834769
Sumathi Nursing and Maternity Home,13.0325717,77.5582602
Desai Nursing Home,12.9863736,77.5793154
Fortis Hospital,12.9881648,77.5548179
Healing Earth Multispeciality Ayurveda Hospital,12.9165359,77.6361865
Global Ayurveda Multispeciality Hospital,12.9165795,77.6362187
Brahmi Ayurvedic Center,12.8830054,77.6073285
Fj Merrit Hydrotherapy And Wellness,12.9344224,77.6299785
Vedam Ayurveda Multispeciality Hospital,12.9175511,77.6039486
Ayur jagruti,12.9667253,77.6378289
Herbocare Hospital Pvt,13.0204424,77.6440607
""" NRS Medical & Dental Specialists Centre""",12.9378359,77.5573329
Tele Rad RX DX Health care Pvt Ltd,12.9992982,77.7575636
Spring Leaf Health Care Pvt Ltd,12.8526731,77.6676459
Chiranjeevi Hospital & Maternity Home,12.9386994,77.5518394
"Vinayaka Hospital, Hanumantha Nagar",12.9373748,77.5494778
Diavista Diabetes & Multispeciality Hospital,12.9354293,77.5477956
Meenakshi Hospital,12.9420715,77.553698
Medi-Tech Multi Speciality Hospital,12.9408667,77.5603657
Kusuma Hospital,12.9420124,77.5506918
Ring Road Hospital,12.9274553,77.5516293
Pulse Multispecialty Hospital,12.9389007,77.5438808
Surya Galaxy Hospital,12.9316792,77.5450887
Wellness Ever,12.9593576,77.7461682
Hair Loss Treatment in Bangalore - Hairline International,12.9566858,77.7419283
Surya Diagnostics and Health Services,12.9242825,77.6170883
New Life Hospital bangalore,12.9967611,77.7591252
Ayushman Ayurvedic therapy centre,12.9946163,77.6023871
Pristine Hospital,12.9984229,77.5403887
Sri Vinayaka Hospital,12.9575029,77.5276466
Shathayu Ayurveda Wellness Centre,12.9573897,77.5276882
Shri Vishnu Ent Speciality Center,13.0226079,77.4748015
Hospital Sharavathi,12.9594984,77.5275515
Arogya Kendra,12.9735891,77.5443283
The Family Doctor Malleswaram,13.0029689,77.5526666
Venkat Charmalaya,12.9644231,77.5333324
V Care Medical Systems P Ltd,12.9787049,77.5403581
Manasa Hospital,12.968821,77.5246297
Saikrupa Hospital For Women's and Surgical Centre,12.9691657,77.5351921
Cutis Academy of Cutaneous Sciences,12.9768117,77.5449094
Shreya Hearing Clinic,12.9621516,77.533401
Acura Speciality Hospital,12.9353208,77.6205504
Prasad Nethralaya,12.9603312,77.5300796
Vijayanagar Global Hospital,12.9717905,77.5372864
Blossom Infertility Center,12.9649703,77.5389842
Padmashree Nursing Home and Maternity Home,12.958321,77.5350434
Unnamed Hospital,12.9639998,77.5302683
Dhanush Hospital,12.9706209,77.5151893
"S K Hospital, Bengaluru Urban",12.957572,77.5184436
"Green City Hospital, Bengaluru Urban",12.9062193,77.580682
The Homoeo World,12.9947201,77.5715879
Modern Family Doctor Pvt Ltd,12.9698405,77.5327211
Oxford Hospital,12.9312101,77.5756907
Oxford Hospital,12.8584183,77.6653346
R R Hospital & Trauma Centre,12.9059465,77.5904192
M N Speciality Clinic,12.9039905,77.5859569
Prashanth Hospital,12.9067129,77.6265085
Parimala Health Care,12.9009278,77.5986641
Springleaf Hospital,12.853228,77.6653506
Sri Ram Hospital,13.0096231,77.6924713
Vijay Diagnostic Centre,12.9458746,77.5877756
Dr Lal PathLabs,12.924274,77.5680927
Welnext,12.9242869,77.6532853
Sri Sai Ram Hospital,12.8943049,77.5682821
Tamara Hospital & IVF Centre,13.0044499,77.5530755
ChanRe Rheumatology and Immunology Center and Research,12.995573,77.5354215
Anupama Hospital,12.9838763,77.4788534
Deepa Hospital,13.0120509,77.6998816
"Manasa Hospital, Vijayanagar",12.9709463,77.5451059
Agarahara Government Hospital,13.0957329,77.6273067
Nagarathna Hospital,12.9056092,77.5426964
Ramana Rao's clinic,13.0130826,77.5761449
Government Maternity Home,12.9983402,77.6200927
Lucid Medical Diagnostics,12.9306876,77.5794541
Cauvery Orthopaedic Centre,12.9984887,77.5504219
"Apollo Bengaluru Cradle Limited, Jayanagar",12.9168014,77.5851878
"Nethradhama Superspeciality Eye Hospital, Rajajinagar",12.997613,77.5509423
NIMHANS - Ashwini Block,12.9397588,77.59445
Sathya Sai Lake Side Ortho Hospital,13.0215807,77.7128053
Comfort Multispeciality Hospital,12.9817167,77.6800412
National Institute of Mental Health and Neuro Sciences,12.9400669,77.5931597
NBRC(National Brain Research Center),12.9404277,77.5988406
Dr. Roshni's Tooth Planet Dental Clinic,12.9876335,77.6851595
Cambridge Hospital,12.9716236,77.6273835
Respigen healthcare,12.9555357,77.5918347
Doctor's diagnostics Centre,13.014746,77.6357881
Hosmat Hospital,13.0080001,77.5837482
Cloudnine Hospital Pvt. Ltd.,12.9597752,77.6569127
Subramanium Medicine Store,13.0090912,77.656317
Columbiaa Hospital,13.0104342,77.6583242
