hospital_name,latitude,longitude
Sri Venkateshwara Eye Hospital,13.0423919,77.5136653
V Care Hospital,13.015884,77.5973475
A.M. Hospital,12.9601022,77.5315556
"Divya Drishti Eye Hospital, Vijayanagar",12.9586907,77.5352668
"Shridevi Hospital, Bengaluru Urban",12.9617045,77.5217172
Srinivasa Eye Hospital,13.0147224,77.6515616
Spandana Hospital And Medical Centre,13.0112166,77.6743939
Sreeniwasa Hospital,12.9732706,77.5725357
Ashraya Medinova Pvt Ltd,12.988865,77.5078006
Magadi Road Maternity Home,12.9741253,77.561823
Pristine Hospital,12.9980009,77.5432779
Dr Zamindar's Micro Surgical Eye Centre,13.0021978,77.6329015
K.T.G. Hospital,13.0004769,77.5054027
Vasan Eye Care Hospital,12.8980516,77.6339279
Health Cottage Hospital,12.9709143,77.6321116
Samastha Hospitals Pvt Ltd,12.89708,77.5473364
Poornima Hospital,13.0263344,77.595128
S.N. Hospital,13.0357404,77.7347061
Dr.Zamindar Microsurgical Eye Centre,13.0178594,77.6547577
Good Shepherd Hospital,13.0328036,77.633289
"Dr.Agarwal Eye Hospital, Frazer Town, Bangalore",12.9960196,77.6128413
"Mamta Hospital, Bengaluru Rural",13.0377564,77.5744454
S. J. Hospital,13.0360827,77.575065
Republic Hospital,12.964162,77.5982255
R.R. Hospital and Trauma Centre,12.9074269,77.5716318
Ashwini Hospital,13.074622,77.7854079
Geetha Hospital,13.0357169,77.7351701
"Suresh Hospital, Bengaluru Urban",13.0080397,77.6971089
Sri Ram Netralaya and Surgical Centre,13.0088071,77.6948659
"Patil Hospital, Bengaluru Urban",13.0090854,77.6969567
Sri Sai Eye Hospital,13.011968,77.6659168
Sri Ram Speciality Hospital,12.9543777,77.6209764
Zion Hospital And Research Centre Pvt.Ltd.,13.0149675,77.6354957
Jai Maruthi Hospital,13.0068811,77.5055636
Institute Of Nephro Urology hospital,12.9619528,77.5728562
Well Spring hospital,12.9425676,77.6224349
Aaroyha Mandir Hospital,13.0105038,77.5502452
"Punya Hospital, Bengaluru Urban",12.9862161,77.5374853
"Vijaya Hospital, Bengaluru Urban",12.9418827,77.48376
Sandhyashree Hospital,12.9761802,77.5261763
Dr. Sailaja's Super Speciality Eye Hospital,13.0276736,77.6614188
Hillside Hospital,12.9162753,77.5589544
Pd Hinduja Sindhi Hospital,12.9646359,77.5926509
Sri Ranga Arogyadhama,12.9986239,77.542782
Brinda Hospital,12.978053,77.5115959
Sankalpa Hospital,12.95119,77.4918039
Deepashri Hospital,12.9705902,77.5108503
Rotary Eye Hospital (A Unit Of Bangalore North Rotary Trust),12.9817233,77.5549364
Acharya Tulsi Jain Hospital,13.0218344,77.5567093
Get Well Hospital,12.9526616,77.61503
Premier Hospital,13.0241863,77.5960574
Gurukripa Hospital and Health Care Centre,13.0001802,77.5461146
Avian Medicare and Research Centre,13.0269276,77.6227882
Vinayaka Health Care and Maternity Home,12.8919999,77.6257829
Little Flower Hospital,13.0113204,77.6771966
"Venkateswara Hospital, Bengaluru Urban",12.9543465,77.5755649
Sai Baba Hospital,13.0093599,77.5222108
"Metro Hospital, Bengaluru Rural",12.8914666,77.5612113
"Madhu Hospital, Bengaluru Urban",12.9783164,77.5429603
Al- Habeeb Hospital,13.0236062,77.6196139
"Sri Srinivasa Hospital, Bengaluru Rural",13.074057,77.7855326
"Santhigiri Ayurveda and Siddha Hospital, Bengaluru Urban",12.9439008,77.6065864
Padmashree Diagnostics,12.9745983,77.5436792
Venus MultiSpeciality Hospital,12.9721779,77.6807872
Ramakrishna Hospital,12.8541208,77.6624811
Roopena Agrahara Government Hospital,12.9102142,77.6244654
Government Hospital SULIKERE,12.938541,77.4485
"Government Hospital, Gunjur",12.922327,77.736038
Thippenalli Government Hospital,13.031132,77.483923
Laggere Government Hospital,13.009817,77.5231852
Seegehalli Government Hospital,13.0164321,77.7169887
Ullalu Government Hospital,12.9629127,77.4751834
K.C. General Hospital,12.993382,77.5694167
"Government Hospital, Budigere",13.1376521,77.744809
NELAMAHESHWARI Government Hospital,13.049152,77.510442
Sai Hospital,13.0701337,77.6329103
Sree Ranga Hospital,12.9358669,77.4927128
Cure Hospital,13.0324318,77.6085263
Yashas Neurocare,12.9853993,77.5454024
Focus Diagnostic Center,12.9870634,77.549951
Vittal Eye HOspital,12.931298,77.5412566
naveen clinc,13.0413777,77.5050224
Chamundi Hi Tech Hospital,12.9240924,77.6177848
Little Flower Hospital,12.9807257,77.6823734
NMPC Hospital,13.006205,77.7004289
R R Hospital,13.0082031,77.697197
Jeevan Hospital,12.9901305,77.6713322
Vicky Family Life,13.0031618,77.7059531
Vedam Ayurveda Multi Speciality Hospital,12.9946786,77.6709989
Stroke Treatment Paralysis,13.0239995,77.6585299
Geriatric Hospitals,13.0283977,77.6599575
Health Plus Multi Speciality Hospital,13.0219523,77.6994046
Pragathi Piles Hospital,12.9966313,77.671863
Mahaveer Hospitals,12.9895049,77.6741439
Eshawar HospItal,13.033219,77.6747693
Medihope Super Specialty Hospital,12.973637,77.675186
Cure N Care Hospital,12.989869,77.676589
Sad Bydya Shala Ayurvedic Hospital,13.0106539,77.6969464
Sri Lakshmi Super Speciality Hospital,13.011115,77.697361
Kids Health Link,13.0031938,77.7128759
Prakruti Hospital,12.991561,77.6757833
Amrutha Healthcare,13.0042616,77.7114153
Kamadhenu Hospital,12.975501,77.534972
Dr. Rajesh Hospitals Eye and Dental,12.9688989,77.6422131
OJUS Multi Speciality Hospital,12.957269,77.653945
Benaka Hospital,12.9835824,77.5289448
"Goverment Hospital, Hosahalli",12.9744928,77.5342045
Jhon's Medical Hospital,12.9635299,77.6662889
Vijaya Hospital,12.96767,77.5226459
Government Hospital,12.9780731,77.5251934
Sriprasad Ayurveda,12.9734087,77.5462808
Vidya Eye Hospital,12.9707429,77.5377684
Sai Baba Hospital,12.9698194,77.6317472
Shree Sai Speciality Hospital,12.9555948,77.6418006
Shree Dhanvantari Ayurveda Hospital,12.9615606,77.5222312
Srinivasam Cancer Care Multi Speciality Hospital,12.961509,77.523151
Magdum Hospital,12.9589495,77.6603768
Athoz Hospitals,12.9673428,77.6424996
G.R. Hospital,12.9802303,77.5548818
Sneha Horizon Hospital,12.9754301,77.5358001
Jagjeevanram Hospital,12.968292,77.524492
Kangroo Hospital,12.974339,77.542325
Abhinav Hospital,12.9757486,77.553782
Suhusannidhi Hospital,12.969102,77.534951
Abivrud Cancer Care & Research Centre,12.963967,77.4973049
Panchsheela Nagar Hospital,12.9745497,77.5208943
ESIC Hospital,12.9693009,77.6317545
Sai Ortho and Dental Centre,12.9698191,77.5360801
Ammashrees Hospital,12.9794315,77.5441641
Lohitha Hospital,12.963951,77.64308
Government Hospital,12.9639829,77.5188899
Revathi Hospital,12.9679971,77.5015759
Shanthakumari Hospital,12.9637162,77.5188263
Bengaluru Child Neurology and Rehabilitaion Centre,12.9735574,77.5461246
Sumati Hospital,12.976379,77.524439
Dr. Hemant Agrawal,12.9583212,77.659636
Dr. Nothesh Child Specialist,12.975423,77.540659
Swasthya Hospitals,12.9544981,77.6401572
Miracle Hopital,12.958861,77.654322
Sastry Memorial Hospital,12.9698787,77.5332834
Springleaf Hospital,12.852699,77.667688
Hospitec Multispeciality Hospital,12.8859649,77.6489078
Global Speciality Hospital,12.808615,77.699385
Sri Venkateswara Hospital,12.9056165,77.6122688
Rajashri Grandhim Hospitals,12.895426,77.607662
Goldage Hospital,12.8908362,77.6040715
JJ Hospitals,12.8350141,77.6953077
Best E City Hospital,12.850377,77.6567056
Bhumika Hospital,12.826249,77.678792
Vinayaka Hospital,12.93753,77.549675
Unani Hospital,12.9633185,77.5790145
Rahul Maternity & Child Health Centre,12.9596227,77.6146819
Bangaluru Unani Hospital,12.9405198,77.5794387
Medcare Hospital,12.953049,77.574203
Sumanjara Hospital,12.9417439,77.5601782
Corporation Hospital,12.961345,77.560893
Mitralaya Hospital,12.945591,77.5712865
People Tree Hospitals,12.942076,77.553598
Apollo Specialty Hospital,12.936459,77.584422
Government Hospital,12.9609494,77.5613939
Verna Hospital,12.940404,77.5580361
"Government Hospital, Banglore",12.9587464,77.5573456
Royan Maternity & Child Welfare Centre,12.960311,77.568274
Alisa Eye Hospital,12.9652304,77.6104334
Shekhar Hospital,12.945944,77.567404
Government Hospital,12.949104,77.563226
Jeevini Sarvodaya Hospital,12.9415883,77.5641917
Mahaveer Ortho Care Speciality Centre,12.9569684,77.5695045
Raghavendra Hospital,12.938787,77.554296
Apaara Multi Speciality,12.938453,77.551329
Khincha Orthopaedic Centre,12.939882,77.573989
Parameshwari Hospital,12.948971,77.563543
Drishti Nethralaya,12.9422541,77.5506328
Furtde Hospital,12.9654649,77.5894756
Manavarthapet Pregnancy Hospital,12.9702549,77.5734571
Trinity Hospital and Heart Foundation,12.9434996,77.5796583
Spandana Heart Centre,12.957222,77.566486
Shas Eye Care,12.960296,77.614714
Matha Pitha Hospital,12.9420276,77.575634
ESI Hospital,12.972126,77.573351
Herige Hospital,12.960972,77.5609696
Gleneagles Global Hospitals,12.9654497,77.5999044
Punarjyoti Eye Hospital,12.9658901,77.589928
Swastik Eye Hospital,12.9479647,77.5696395
Dave Gray Hospital,12.9458294,77.5799015
Dr. Rudrappa's Hospital,12.9650303,77.5954946
Aveksha Hospital,13.081777,77.54091
Shishuka Children's Speciality Hospital,13.0193799,77.6535352
Skin Remediez,13.0091103,77.6579493
Navya Hospital,13.0524836,77.6120857
Ovum Birthing Centre,13.0201491,77.6516628
Icon Hospital,13.0528211,77.6041042
Medicure Hospital,13.0283463,77.6298629
Motherhood Women & Children Hospital,13.0102697,77.6525909
Santhamma Hospital,13.0866852,77.5535728
Feran Hospital,13.0263661,77.6302142
Super Specialty Eye Hospital,13.0166883,77.6604049
Endocrine Speciality Centre,13.013761,77.648529
Shree Sai Hospital,13.0885791,77.5455057
Axis Hospital,13.065863,77.604213
Anjani Women's Day Care Hospital,13.0188119,77.647187
Eswar Women and Day Care Hospital,13.0658472,77.5992844
CDEC Hospital,13.026989,77.6281742
Pranam Dental Hospital,13.029101,77.620568
Milaan Hospital,13.0109537,77.6476418
Cloudnine Hospital,13.020084,77.654053
NDR Multi Speciality Hospital,13.1051735,77.6027864
Valens Hospitals,13.120977,77.6176084
Bengalure Hospital,13.1039081,77.5754898
Amruth Hospital,13.102578,77.627895
Rangalakshmi Netralaya,13.098943,77.576716
Saralaya Hospital,13.121743,77.629478
Apurva Hospital,13.101335,77.59858
Om Shakthi Hospital,13.1215701,77.6126077
Shadab Hospital,13.1025229,77.6278506
Rainbow Health Care,13.0997321,77.5760891
Jayalakshmi Hospital,13.098909,77.596219
NDR Orthopaedic,13.10051,77.595603
Sri Arogya Hospital,13.1215659,77.6250507
Sapthagiri Hospital,13.1213668,77.6174817
Pavan Hospitals,13.0981485,77.596139
Kushi Hospital,13.0938081,77.5804166
Vikrant Hospital,13.142831,77.6727356
Varsha Hospital,13.1026581,77.6297932
Just Smiles,13.098668,77.5826843
Lavis Hospital,12.925461,77.609021
Sevakshetra Hospital,12.9215119,77.5724702
Perfetual Help Hospital,12.9055752,77.5425258
Shree Vaishnavi Heart Centre and Multi Speciality,12.9121632,77.6098276
Marigold Hospital,12.9136262,77.6045369
Bharathi Hospitals,12.9334096,77.5622345
Devi Hospital,12.9239445,77.6198634
Devagiri Hospital,12.924153,77.565797
Pothys Hospital,12.9159348,77.6034098
Center for Liver Disease Hospital,12.916234,77.593019
Sudha Prevention Centre,12.9254569,77.5467101
Sahasra Hospital,12.920651,77.5746118
Health India Hospital,12.9265183,77.6090995
Shanti Hospital,12.9202202,77.5772991
Spurthy Hospital,12.923857,77.611355
Apollo Cradle Maternity & Children's Hospital,12.916885,77.585258
St. Martha's Hospital,12.906113,77.542548
Chinmaya Hrudayalaya,12.9778121,77.6459447
Sri Lakshmi Multi Speciality Hospital,12.8812376,77.7516894
Government Hospital,13.0903942,77.4966765
Government Hospital,13.0803204,77.5535057
Bangalore Healthcare Center Pranav Ayurveda Hospital,13.0770012,77.5581038
Government Hospital,13.070554,77.5388968
Kruthika Hospital,13.0650144,77.5041964
Dr Saju George Kottakkal,13.0621628,77.5177637
Fathima Hospital,13.0559513,77.5329456
Esi Dispensary,13.0439933,77.5065494
Ashwini Hospital,13.0313399,77.5055985
Esi Hospital Peenya 1st Stage,13.0280728,77.5231858
Nayanalaya Super Speciality Eye Care Centre,13.006795,77.571159
Srinidhi Health Centre,13.005821,77.5725746
Orthopedic & Eye Care Center,13.0054934,77.5719519
ESI Hospital,13.004596,77.5540033
Ramani Orthopaedic Hospital,13.0044307,77.5785238
Atharva Ayurdhama Ayurvedic Hospital,13.004314,77.547749
RICH CARE HOMEOPATHY,13.0015461,77.5721683
Poornayu Ayurveda Hospital,12.998238,77.551173
Appllo Diagnostic,12.9981064,77.6008126
Supra Diagnostics Spine Care And Ortho Care Hospital,12.9969996,77.5730038
K.C.General Hospital,12.9960244,77.5693714
ESIC Model Hospital,12.9916924,77.5539007
Government Hospital,12.9905045,77.5566355
Esi Hospital Bangalore,12.9904985,77.5530924
Government Hospital,12.9844963,77.5551801
Anupama Hospital,12.9831814,77.4787872
Sun Orthopaedic center,13.0332219,77.5549236
St. Johns hospital Emergency ward,12.9305937,77.6186159
Healing Hands Advanced Physiotherapy Clinic,12.9128623,77.5714903
Narayan Multispeciality clinic,12.9288444,77.5828703
Adarsh Hospital,12.9208444,77.4847891
clinic,12.9395279,77.586437
Shree Manyata Hospitals,13.0544507,77.6316369
Kidwai Cancer Institute Radiation Block,12.9355966,77.5971575
Altius Hospital,13.0344639,77.6291947
Neo Hospital,12.8474,77.6439378
Maya Hospital,12.9365283,77.7046741
Devi Eye Hospital,12.9556074,77.7216631
Sahasra Hospital,12.9337751,77.7433234
Cloudnine Hospital,12.8832909,77.5500857
My Dentist,12.9429852,77.5460604
Siddanth Hospital,12.9563317,77.7305782
Apollo Pharmacy,12.9263862,77.6766068
Sai Krupa Hospital,12.8629885,77.4330082
Suraksha Hospital,13.048083,77.628791
The Local Dentist,12.9094156,77.663997
Janani Clinics,12.9918503,77.5437825
Lotus Hospital,12.9144825,77.6491563
Ayaans Hospital,12.9782618,77.6435889
NIMHANS Department Of Psychiatric and Neuro Rehabilitation,12.9400516,77.5954768
Nimhans Mr-pet Center,12.9396498,77.5967825
NIMHANS Physiotherapy Center,12.9402037,77.5954721
Zymus Hospitals,12.8784742,77.5450234
Cadabam's Hospitals,12.906071,77.5869281
JJ Hospital,12.8350455,77.693987
"Fortis Hospital, Nagarbhavi",12.9596032,77.5112481
MEDSTAR Speciality Hospital,13.058128,77.5860405
Span Health Center,12.9774449,77.6271297
Smile Smart Dental & Implant Centre,12.8804891,77.6552588
Uvin Care Hospital,12.9778346,77.6282837
Sai Sparsh Hospital,12.8933895,77.6368614
Bengaluru City Hospital,12.9075935,77.5707809
Aspire Hospital,12.9971683,77.6145878
Dhee Hospital,12.8835095,77.550214
Sai Thunga Hospitals,12.9240012,77.6481809
Esha Hospital,13.098072,77.567378
Chirag Global Hospital,12.9058817,77.6037517
Manipal Hospital OPD,13.0624568,77.592227
PMC Hospital,13.0065047,77.5545009
New Varalakshmi Hospital,12.9988382,77.5550964
Ashwini Hospital,13.0988482,77.5978974
Apollo Cradle Children's Hospital,13.002768,77.5536287
Motherhood Children's Hospital,13.0620051,77.5930638
Abiramm Hospital,12.8728525,77.6515698
Netradhama,12.99743,77.5510293
Sri Sai Hospital,12.871395,77.6542581
Unnamed Hospital,12.8841477,77.6492549
Raksha Hospital,12.8892622,77.6505317
St Philomenas Hospital OPD Building,12.9658506,77.6109015
Hiremath Hospital,12.9754354,77.5358965
Gawai Hospital,12.9962739,77.6075693
Dr. Agarwal's Eye Hospital,12.9678752,77.7500478
Beams Hospitals Private Limited,12.9342277,77.6296323
Best Hospital,12.8015345,77.7079091
H Siddiah Referral Hospital,12.9569057,77.5824398
Suraksha Hospitsls,12.939978,77.7467408
Aria,12.9433908,77.7475266
"Shri Mokambika Women's Clinic, Child care and Nethralaya",12.9519863,77.4989075
Suraksha Diagnostic Centre,12.9519538,77.4990341
Cloud Nine,12.9566829,77.7414284
Jindal Charitable Hospital,12.9937247,77.5539724
Hosmat Hospitals,12.9644726,77.6143018
Bangalore Gastro Centre,12.9160037,77.6523087
Narayana Nethralaya,12.980602,77.7092104
Nethradhama,12.9762006,77.7258334
Sree Venkateshwara Hospital,12.9388501,77.7472104
AMC Multispeciality Hospital,12.9296701,77.5764082
Proteeth Dental,12.9346221,77.6284665
Trilife Hospital,13.0170153,77.6429262
Big Hospitals,12.9405054,77.5848675
Motherhood,13.0202419,77.6516186
NASA Hospitals,13.0058328,77.6597392
Bangalore Orthopeadic And Surgical Hospital,13.0219385,77.6385853
Nano Hospitals,12.9070989,77.5460762
Sakra World Hospital,12.932315,77.6852483
"Healing Hands Clinic - J.P Nagar, Bengaluru",12.9061361,77.5868707
"Healing Hands Clinic - Indiranagar, Bengaluru",12.9783093,77.6426202
"Healing Hands Clinic - Sahakar Nagar, Bengaluru",13.0635992,77.5895961
"Healing Hands Clinic - HSR Layout, Bengaluru",12.9120415,77.6479898
"Healing Hands Clinic - Rajajinagar, Bengaluru",12.9981698,77.5429724
"Healing Hands Clinic - Sarjapura, Bengaluru",12.8666262,77.767802
"Healing Hands Clinic - Whitefield, Bengaluru",12.9880628,77.7298427
Apollo Cradle & Children's Hospital,12.8695143,77.6542531
Kauvery hospital,12.855088,77.6631602
Sukoon Psychiatry Centre,13.0408289,77.5626277
Sunshine Hospital,13.059585,77.648516
Aster RV Hospital,12.9114199,77.5850249
Chinmaya Mission Hospital,12.9779337,77.6461885
KLE Dental College,13.0305079,77.535667
Health Centre,13.0157723,77.5638038
K C General Hospital,12.9950532,77.5697431
St Marthas Hospital,12.9708175,77.5857431
Vydehi Superspeciality Hospital,12.9681553,77.5950421
Jayanagar General Hospital,12.9261175,77.592549
Hospital Complex,12.9383683,77.5899069
Sri Jayadeva Institute Of Cardiology,12.918526,77.599254
HMT Hospital,13.04958,77.5509219
BEL Hospital,13.0503387,77.5567647
"Fortis Hospitals, Bannerghatta Road",12.8947511,77.5985816
Apollo Hospital,12.89632,77.5983495
Bhagwan Mahaveer Jain Hospital,12.9914884,77.5952993
Bowring and Lady Curzon Hospitals,12.9830115,77.6047116
Sir Haji Ismail Gosha Sait Hospital,12.9837175,77.599792
Government Veterinary Hospital,12.9641529,77.5676947
Divisional Railway Hospital,12.9798353,77.5651105
Baptist Hospital,13.0347249,77.5901708
ESI Hospital,12.9713479,77.6367243
Railways Hospital,13.1041114,77.5829963
KK Hospital,13.0971434,77.5893851
ESI Dispensary,12.992488,77.7062224
Rajshekhar Hospital,12.9110143,77.5797725
Karunashraya,12.9574104,77.7134875
Sankara Eye Hospital,12.9571436,77.7128215
"Sparsh Hospital For Advanced Surgeries, Bengaluru Urban",12.9833345,77.5945358
Sri Sathya Sai Institute of Higher Medical Sciences,12.9808814,77.7303048
Manipal Speciality Hospital,12.908884,77.5136186
"Manipal Hospital, Bengaluru Urban",12.9587074,77.6490296
Chaitanya Nursing Home,13.0990774,77.5861467
Radhakrishna Multispeciality Hospital,12.9409612,77.5455617
Rajalakshmi Multispeciality Hospital,12.9164637,77.5796155
Manipal Hospital,12.9585777,77.6481409
Indiranagar Government Hospital,12.9829238,77.6446972
Isolation Hospital,12.9839262,77.6436191
Epidemic Disesase Hospital,12.9864155,77.6437586
Employees' State Insurance Corporation Model Hospital,12.9909528,77.5534579
"Vittala International Institute Of Ophthalmology, Hosakerehalli",12.9308127,77.5412224
ISRO Employees Hospital,12.966082,77.656317
Ramaiah Memorial Hospital,13.0282176,77.569775
Hosmat Hospital,12.9691251,77.6133228
Victoria Hospital,12.9634957,77.5736948
Manipal Hospital,13.050953,77.5938654
Dasappa Maternity Hospital,12.9643477,77.5845256
Isolation Hospital,12.9858278,77.6429649
Sarvodaya Hospital,12.9803669,77.5390159
Dasarahalli Referral Hospital,12.9773598,77.5428202
Nethra Eye Hospital,13.0271503,77.5768623
Narayana Hrudayalaya,12.8077543,77.6950585
Kidwai Memorial Institute of Oncology,12.936526,77.5981388
Ayurvedagram Heritage Wellness Centre,12.968954,77.7994762
P.D. Hinduja Sindhi Hospital,12.9644407,77.5926745
Nmpc Hospital,13.0224158,77.6580401
Shri Krishna Sevashrama Hospital,12.9173301,77.5851028
Lions Seva Hospital,12.9555043,77.7053083
Sacred Oak,12.8433084,77.6754789
Sreerampura Referal Hospital,12.9907432,77.5649082
HAL Hospital,12.9623685,77.6664034
Pro MED Hospital,12.9294355,77.564005
Apollo Speciality Hospital,12.9362818,77.5843424
"Sevakshetra Hospital, Bengaluru Urban",12.9216723,77.5721649
Netradhama Hospital,12.9253024,77.5774064
Subbaiah Hospital,13.0302068,77.560704
"Fortis Hospitals Limited, Bengaluru Urban",12.9884932,77.5945504
ESI Hospital,12.9952564,77.6527138
Institute of Ayurveda and Integrative Medicine (I-AIM),13.1256158,77.5468302
Milann Fertility Center,12.9788013,77.6380849
Sanjeevani Hospital,13.0116917,77.5438731
Dr. Agarwal's Eye Hospital,12.9103586,77.600474
Sanjay Gandhi Accident and Trauma Hospital,12.9356389,77.5935945
Sanjay Gandhi Accident and Trauma Hospital,12.9357711,77.5939433
Greenview Hospital,12.9191928,77.6381223
Leprosy Hospital,12.9744546,77.5640222
Ravi Kirloskar Memorial Hospital,13.0384676,77.527802
Dr. Agarwal Eye Hospital,13.0943148,77.58071
Annasawmy Mudaliar General Hospital,12.9999803,77.6144986
Arth Ayurveda World,12.9685282,77.6457748
"Neha Prakash Hospital, Bengaluru Urban",13.1077314,77.5717299
Sri Lakshmi Venkateshwara Hospital,13.1056278,77.5772997
Prolife Hospital,13.065084,77.5936343
Amrik Hospital,12.9828993,77.7478126
Indicus,13.0146094,77.6464563
Fortis La Femme Hospital,12.9657452,77.6097161
Shyamala Hospital,12.9714272,77.627494
Ways2Guide Speech Therapy Center,12.9599619,77.7126304
Government Primary Health Centre,12.9718119,77.693776
Kinder Women's Hospital & Fertility Center,12.9920515,77.7064747
Medicare Diagnostics,13.0285228,77.5587301
Abhaya Hospital,12.9462798,77.5947839
Tirumalai Eye Clinic,12.9194536,77.5838939
MS Diabetes Speciality Center,12.9807106,77.646011
Shashank Clinic,12.9265095,77.5808392
BBMP Maternity Hospital,12.9491979,77.596808
Ramakrishna Clinic,12.978694,77.5744614
ESI Hospital,12.9279948,77.5894064
Unnamed Hospital,12.9346732,77.6287815
Proteeth Dental,12.9346254,77.6284672
Apollo Hospital,12.9883419,77.5726976
Supra Hospital,12.9928137,77.5386455
GM Hospital,12.9929463,77.5386927
Sakhi Hospital (A Unit Of Prasad Healthcare Services),12.9052747,77.6031945
Prashanth Hospitals,12.9391883,77.5513126
Vagus Super Speciality Hospital,13.0084773,77.5684217
Ovum Hospitals,13.0171298,77.6432944
Unnamed Hospital,13.0546111,77.5915016
Deepak Hospital,12.9262236,77.5775108
ChanRe Rheumatology And Immunology Center And Research,12.9955667,77.5354224
Gopala Eye Care Centre,12.9883622,77.5343261
Manipal Hospitals,12.9583496,77.7454332
Jeevika Hospital,12.9659074,77.7025531
Sharada Medicals,13.0152635,77.6467105
SDM Institute of Ayurveda & Hospital,12.8938602,77.4572342
Halasuru Referal Hospital,12.973692,77.6266773
Manipal Hospital,12.9882084,77.5921572
BBMP Primary Health Center,12.9591543,77.6464476
The Fracture and Orthopaedic Clinic,13.0081737,77.5634644
CSI Hospital,12.991305,77.6011314
Government Hospital,12.9490229,77.6199247
Sagar Hospitals,12.9279005,77.5998446
Sagar Hospital,12.9078674,77.5651623
Command Hospital (Air Force),12.9638769,77.627935
Yelahanka Government Hospital,13.0995716,77.5962927
St. Philomena's Hospital,12.9649568,77.6111375
Government Maternity Hospital,12.9377267,77.5697859
HCG Cancer Hospital,12.9637737,77.5896796
Al-Ameen Hospital,12.9898869,77.5942601
St. Theresa's Hospital,13.0067504,77.5529389
Shirdi Sai Hospital,13.0668492,77.6394164
Life Hospital,12.9756177,77.6470614
South City Hospital,12.9496516,77.5803074
Manipal Hospitals Whitefield,12.9880712,77.7286414
"Sparsh Hospital, Bengaluru Urban",12.8069097,77.6957524
Mazumdar Shaw Medical Center,12.8066737,77.6946919
Motherhood,12.9179135,77.6722553
Manipal Hospitals,12.9199685,77.6652549
touchwood,12.9059995,77.6511229
Suvarnamukhi,12.9135595,77.6795552
Sakra World,12.9322182,77.6853258
Rainbow Children's Hospital,12.9753078,77.697834
Agadi Hospital,12.9492019,77.5977936
Punarjani Ayurvedic Multispeciality Hospital,12.8964133,77.6950639
Sri Sri Ayurveda hospital,12.8222,77.5217734
Svastha Hospital,12.9659169,77.749386
Sparsh Hospital,13.0277509,77.5429924
Unnamed Hospital,12.8980981,77.6338265
BMS Hospital,12.9413364,77.5674679
Sarjapura Urban Primary Health Centre,12.8605548,77.7840484
Medical Centre,12.9246391,77.5006239
M C Modi Eye Hospital,12.9980069,77.5459005
Pushpa Nursing Home,12.9689004,77.7494952
Unnamed Hospital,13.0177672,77.5417058
Nrr Hospital,13.0725243,77.5035875
Arunodaya Hospitals,13.057066,77.508511
Dr Ramachandra Hospital,13.048319,77.5080361
Government Hospital,13.0991845,77.5968656
Deeksha Hospital,13.0982401,77.5970471
Town Hospital,12.8605649,77.7898694
Puneeth Rajkumar Multispeciality Hospital,12.9414292,77.5226387
CRPF Hospital,13.1247842,77.5764128
"HOSMAT Hospital, Kalyan Nagar",13.028489,77.6325562
Navachethana Hospital,13.1036126,77.5837987
Natus Woman and Children Hospital,12.9427199,77.525514
Jindal Naturecure Institute hospital,13.0507482,77.4832827
ITI General Hospital,13.0046358,77.6823567
JC Nagar Municipal Hospital,13.0099309,77.5941222
NIKISA Dementia Village,13.1114469,77.5550611
Government Homeopathic Hospital,12.9830546,77.536518
Dr. P.R. Desai Hospital Pvt Ltd,12.9863583,77.5792111
Manipal Hospital Yeshwantpur,13.0142942,77.5560784
"Shifa Hospital, Bengaluru Urban",12.9900045,77.5989675
Diacon Hospital,13.0037443,77.5498305
Fortis Hospital,13.0022012,77.5491011
Aster CMI Hospital,13.0545318,77.5918707
Rainbow Children's Hospital,13.0655647,77.5937383
Cloudnine,12.9244197,77.6724971
Spandana,12.8670052,77.7671289
BN Specialty Hospital,12.9124863,77.6765573
Aster Women and Children Hospital,12.9883438,77.7339468
Prakriya Hospital,13.0463371,77.5065296
Motherhood Whitefield,12.9589657,77.7467194
Unnamed Hospital,12.9849552,77.556924
Unnamed Hospital,13.0011093,77.5639472
People Tree Hospitals,13.0282887,77.5391464
Apollo Cradle,12.9667468,77.7172779
Charaka Super Speciality Hospital,12.9896386,77.60226
Unnamed Hospital,13.0058093,77.5694388
Karunalayam Hospital,12.9112661,77.7075837
Phoenix Hospital,12.9166101,77.6450517
ESI Hospital Malleshwaram Branch,13.0151199,77.5600013
Bhoomi Diagnostics,12.9116986,77.6495441
Narayana Multispeciality Hospital,12.9082086,77.6435134
Rainbow Children's Hospital,12.9033828,77.6007409
Sparsh Hospital,13.0949654,77.5986449
Miracle Hospital,13.0091404,77.7590705
Suguna Hospital,12.9882302,77.5600393
"Sparsh Hospital, Hennur",13.040171,77.6406846
Dr Agarwal's Eye Hospital,12.9569001,77.6047605
Government Primary Health Centre,13.097274,77.6477522
Snehadaan Hospital,12.9017283,77.7155216
SS Sparsh Hospital,12.9264187,77.5216783
KPTCL Hospital Yelahanka,13.1166792,77.5800714
Cloud Nine,12.9156928,77.6752029
BBMP Hospital,12.9949885,77.5937862
Unnamed Hospital,12.9609247,77.5611731
Manipal Hospital North,13.1076284,77.6033814
Jnana Sanjeevini,12.9162232,77.5890247
Anupamaa Hospital,13.0937967,77.5893672
HCG Hebbal,13.0658864,77.5939666
Brains Super Speciality Hospital,12.9478274,77.5924806
